signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_LFM_BPSK_000_000_-12dB,dual/train/signals/SFM_LFM_BPSK_000_000_-12dB.npy,SFM,LFM_BPSK,5,14,-12,0.26420730807970094,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_000_-06dB,dual/train/signals/SFM_LFM_BPSK_000_000_-06dB.npy,SFM,LFM_BPSK,5,14,-6,0.26420730807970094,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_000_+00dB,dual/train/signals/SFM_LFM_BPSK_000_000_+00dB.npy,SFM,LFM_BPSK,5,14,0,0.26420730807970094,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_000_+06dB,dual/train/signals/SFM_LFM_BPSK_000_000_+06dB.npy,SFM,LFM_BPSK,5,14,6,0.26420730807970094,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_000_+12dB,dual/train/signals/SFM_LFM_BPSK_000_000_+12dB.npy,SFM,LFM_BPSK,5,14,12,0.26420730807970094,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_000_+18dB,dual/train/signals/SFM_LFM_BPSK_000_000_+18dB.npy,SFM,LFM_BPSK,5,14,18,0.26420730807970094,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_001_-12dB,dual/train/signals/SFM_LFM_BPSK_000_001_-12dB.npy,SFM,LFM_BPSK,5,14,-12,0.3161508173979215,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_001_-06dB,dual/train/signals/SFM_LFM_BPSK_000_001_-06dB.npy,SFM,LFM_BPSK,5,14,-6,0.3161508173979215,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_001_+00dB,dual/train/signals/SFM_LFM_BPSK_000_001_+00dB.npy,SFM,LFM_BPSK,5,14,0,0.3161508173979215,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_001_+06dB,dual/train/signals/SFM_LFM_BPSK_000_001_+06dB.npy,SFM,LFM_BPSK,5,14,6,0.3161508173979215,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_001_+12dB,dual/train/signals/SFM_LFM_BPSK_000_001_+12dB.npy,SFM,LFM_BPSK,5,14,12,0.3161508173979215,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_001_+18dB,dual/train/signals/SFM_LFM_BPSK_000_001_+18dB.npy,SFM,LFM_BPSK,5,14,18,0.3161508173979215,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
SFM_LFM_BPSK_000_002_-12dB,dual/train/signals/SFM_LFM_BPSK_000_002_-12dB.npy,SFM,LFM_BPSK,5,14,-12,0.32636678347323766,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
